//Index		Map		X		Y
//Lorencia 0	1-10
	1		0		131		189
	2		0		181		132
	3		0		138		80
	4		0		78		121
	
//Dungeon 1		11-40
	11		1		99		220
	12		1		84		208
	13		1		64		207
	14		1		25		222
	15		1		49		201
	16		1		48		157
	17		1		98		159
	18		1		121		179
	19		1		164		198
	20		1		192		223
	21		1		218		227
	22		1		164		154
	23		1		230		115
	24		1		178		121
	25		1		69		108
	26		1		73		53
	27		1		117		74
	28		1		217		86
	29		1		228		13
	30		1		159		40
	31		1		121		46
	32		1		77		7
	33		1		18		77
	34		1		21		120
	
//Devias 2		41-60
	41		2		158		44
	42		2		219		88
	43		2		200		122
	44		2		190		154
	45		2		119		21
	46		2		118		64
	47		2		65		15
	48		2		46		67
	49		2		21		116
	50		2		78		124
	51		2		145		208
	52		2		227		188
	53		2		41		201
	
//Noria	3		61-70
	61		3		146		122
	62		3		209		149
	63		3		160		72
	
//Lost Tower 4		71-90
	71		4		198		108
	72		4		206		51
	73		4		245		127
	74		4		215		194
	75		4		193		184
	76		4		100		170
	78		4		101		221
	79		4		125		188
	80		4		87		110
	81		4		126		106
	82		4		129		25
	83		4		87		25
	84		4		35		47
	85		4		31		17
	86		4		27		103
	87		4		29		123
	88		4		42		172
	89		4		38		200
	90		4		54		92
	
//Arena 6	91-120

//Atlans 7	121-140

end
